scraping_time,website_id,main_website_url,product_link,product_title,old_price,new_price,price,brand,product_code,images
2020-12-17 23:17:15.188487,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/mpotakia/lagor,Μποτάκια Guy Laroche Lagor,139.0,111.0,,Guy Laroche,V3662.G8271NOS.K,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/34/IMG_8984_1.png
2020-12-17 23:17:15.240482,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/mpotakia/levito,Μποτάκια Boss Levito,,,139.0,Boss,AB782.Q112.D,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/40/IMG_1521.png
2020-12-17 23:17:15.684488,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/mpotakia/founder-wp-tx,Μποτάκια Caterpillar Founder WP TX,,,135.0,Caterpillar,AB4642.FOUNDERWP.N,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/40/IMG_7521_2.png
2020-12-17 23:17:16.045487,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/papoutsia-casual/graduate-bl-1-sma-293251,Παπούτσια casual Lacoste Graduate BL 1 SMA,,,99.0,Lacoste,AB512.GRADUATE.DSD,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/40/IMG_2850.png
2020-12-17 23:17:16.163488,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/mpotakia/cloy,Μποτάκια Caterpillar Cloy,,,99.0,Caterpillar,AB4642.CLOY.D,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/40/IMG_8381.png
2020-12-17 23:17:16.517486,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/papoutsia-casual/heritage-tommy-jeans-sneaker,Παπούτσια casual Tommy Hilfiger Heritage Tommy Jeans Sneaker,,,124.0,Tommy Hilfiger,AB1032.HERITAGEJEANS.DDS,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/40/IMG_0854.png
2020-12-17 23:17:16.805487,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/papoutsia-casual/marton-basic-286226,Παπούτσια casual Pepe Jeans Marton Basic,,,79.0,Pepe Jeans,AB1352.PMS30501.DSP,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/40/IMG_1404.png
2020-12-17 23:17:17.007488,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/mpotakia/linac,Μποτάκια GK Uomo Linac,,,99.0,GK Uomo,AB7552.957401.D,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/40/IMG_5548.png
2020-12-17 23:17:17.298487,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/paidika-papoutsia/casual/lux-s,Casual Παιδικά Παπούτσια Replay Lux S,,,65.0,Replay,AB38711.JS350002SS.DS,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/40/IMG_1045_1.png
2020-12-17 23:17:17.416488,249,https://www.giannakazakou.gr/,https://www.giannakazakou.gr/andrika-papoutsia/papoutsia-casual/carnaby-296600,Παπούτσια casual Lacoste Carnaby,,,125.0,Lacoste,AB512.CARNABY.D,https://www.giannakazakou.gr/mcpc/14/image/500x/9df78eab33525d08d6e5fb8d27136e95/gk/40/IMG_7446.png
